air_date	show_number	category	value	question	answer
2024-01-23	0	ORGANIC CHEMISTRY	100	You can breathe easy knowing photosynthesis causes plants to release this gas as a waste product	oxygen
2024-01-23	0	ORGANIC CHEMISTRY	200	"This element's ""footprint"" is everywhere: by definition, every compound studied by organic chemists contains it"	carbon
2024-01-23	0	ORGANIC CHEMISTRY	300	Triglycerides are the most common type of this organic compound; healthy eaters steer clear of the saturated ones	fats
2024-01-23	0	ORGANIC CHEMISTRY	400	In chemistry, it's the unit of measure equal to 6.02 times 1023 of anything -- atoms, molecules... even mammals that burrow in your lawn	a mole
2024-01-23	0	ORGANIC CHEMISTRY	500	Chemically speaking, they're molecules with at least one unpaired electron; true to their name, they can be, like, totally reactive	radicals
2024-01-23	0	ADVANCED CINEMATOGRAPHY	100	"That's what I call range!  Rodrigo Prieto was behind the lens for Greta Gerwig's ""Barbie"" & this 2023 Martin Scorsese drama"	Killers of the Flower Moon
2024-01-23	0	ADVANCED CINEMATOGRAPHY	200	Evocative images like Andy Dufresne standing in the rain savoring his freedom earned Roger Deakins an Oscar nom for his work on this film	The Shawshank Redemption
2024-01-23	0	ADVANCED CINEMATOGRAPHY	400	"Erik Messerschmidt shot the film ""Mank"" primarily in deep focus as a nod to this Orson Welles opus that pioneered the technique"	Citizen Kane
2024-01-23	0	ADVANCED CINEMATOGRAPHY	400	A custom periscope lens was used to film the cockpit of a WWII fighter plane in this 2017 drama by Christopher Nolan	Dunkirk
2024-01-23	0	ADVANCED CINEMATOGRAPHY	500	Set on the desert planet Arrakis, this 2021 sci-fi epic was shot digitally, then transferred to film & then scanned back into digital	Dune
2024-01-23	0	COLLEGE-LEVEL HISTORY COURSES	100	"Located twelve miles outside of it, Villanova offers a course on the ""History of"" this Pennsylvania city"	Philadelphia
2024-01-23	0	COLLEGE-LEVEL HISTORY COURSES	200	"Vassar offers ""Cold War America"", a history course ""from 1945 until the fall of"" this European landmark ""in 1989"""	the Berlin Wall
2024-01-23	0	COLLEGE-LEVEL HISTORY COURSES	300	"Rice boasts that its ""20th Century American Presidents"" course covers the span of Theodore Roosevelt to this 42nd president"	(Bill) Clinton
2024-01-23	0	COLLEGE-LEVEL HISTORY COURSES	400	"At Brown, the history course ""Conspiracy?"" includes this 1692 event dramatized by Arthur Miller in ""The Crucible"""	the Salem Witch Trials
2024-01-23	0	COLLEGE-LEVEL HISTORY COURSES	500	"""The Wealth of Nations"" & ""The Theory of Moral Sentiments"" are two texts assigned for a Duke seminar on this economist"	Adam Smith
2024-01-23	0	OBSCURE NOVELS	100	"Never heard of his 1847 novel ""Omoo""?  Well, maybe you know ""Moby-Dick"", the novel this author published four years later"	Melville
2024-01-23	0	OBSCURE NOVELS	200	"Wow!  Edith Wharton wrote a novel titled ""Fast and Loose""?!  That sounds a bit racier than her 1920 novel ""The Age of"" this"	Innocence
2024-01-23	0	OBSCURE NOVELS	300	"The 1929 novel ""Cup of Gold"" isn't on your Kindle?  You might be more familiar with ""The Grapes of Wrath"", also by this author"	John Steinbeck
2024-01-23	0	OBSCURE NOVELS	400	"""The Edible Woman"" doesn't ring a bell?  It was Margaret Atwood's debut novel before she wrote this 1985 book"	The Handmaid's Tale
2024-01-23	0	OBSCURE NOVELS	500	"Her 1912 novel ""Alexander's Bridge""?  Not so famous.  ""O, Pioneers!"" & ""My Ántonia""?  She's in the canon now"	Willa Cather
2024-01-23	0	CLASSICAL COMPOSERS	100	Although the mystery lives on, experts agree it's very unlikely that Antonio Salieri killed this prolific composer	Mozart
2024-01-23	0	CLASSICAL COMPOSERS	200	"This ""5th Symphony"" composer was quite particular about his morning coffee; he used exactly 60 beans to ensure a proper cup of joe"	Beethoven
2024-01-23	0	CLASSICAL COMPOSERS	300	Georges Bizet died three months after the 1875 premiere of this scandalous opera so he never knew of its enduring success	Carmen
2024-01-23	0	CLASSICAL COMPOSERS	400	"Originally composed as a ballet, Maurice Ravel's ""Boléro"" is best known as the sexy theme of this film starring Dudley Moore & Bo Derek"	10
2024-01-23	0	CLASSICAL COMPOSERS	500	"When he conducted, this ""Swan Lake"" composer held his chin with one hand because he feared that his head might fall off"	Tchaikovsky
2024-01-23	0	NIGHT AT THE MUSEUM	100	Camille Pissarro painted over a dozen views of this European capital's boulevard Montmartre, only one of them at night	Paris
2024-01-23	0	NIGHT AT THE MUSEUM	200	"He followed up his ""Pietà"" by sculpting ""Day"", ""Dawn"" , ""Dusk"" & ""Night"" for the tomb of the Medicis in Florence"	Michelangelo
2024-01-23	0	NIGHT AT THE MUSEUM	300	"Before flowers & bones, the open skies of Texas were one of her early subjects, like the 1917 work ""Starlight Night"""	Georgia O'Keeffe
2024-01-23	0	NIGHT AT THE MUSEUM	400	In 1904, photographer Edward Steichen captured a now-iconic image of this triangular New York City building at twilight	the Flatiron Building
2024-01-23	0	NIGHT AT THE MUSEUM	500	"In the early 1920s, he brought the angst of ""The Scream"" to a series of night sky paintings, some featuring his own shadow"	Edvard Munch
2024-01-23	0	LISA, ANN OR WALTER?	200	"'90s Texas governor Richards who once quipped, ""I get a lot of cracks about my hair, mostly from men who don't have any"""	Ann
2024-01-23	0	LISA, ANN OR WALTER?	400	Arizona State University's Cronkite School is named after this legendary news anchor	Walter (Cronkite)
2024-01-23	0	LISA, ANN OR WALTER?	600	The child of Steve Jobs for whom an early Apple computer was named	Lisa
2024-01-23	0	LISA, ANN OR WALTER?	800	"First name of the subject of the 2011 sports biography ""Sweetness"""	Walter (Peyton)
2024-01-23	0	LISA, ANN OR WALTER?	1000	"Patchett who wrote the 2023 novel ""Tom Lake""; Meryl narrated the audiobook"	Ann (Patchett)
2024-01-23	0	KINDA RHYMES WITH KATIE	200	"It's your last name if you're a '70s TV dad with a wholesome ""Bunch"" of kids... or if you're the host of ""Let's Make a Deal"""	Brady
2024-01-23	0	KINDA RHYMES WITH KATIE	400	It's how you might describe a leafy tree that helps you beat the heat... or that weird neighbor who keeps trying to sell you crypto	shady
2024-01-23	0	KINDA RHYMES WITH KATIE	600	She's the pampered cocker spaniel who falls for a stray mutt in a 1955 animated film	Lady
